ts_code,code,name,area,industry,list_status,list_date,is_hs
300751.SZ,300751,迈为股份,江苏,专用机械,L,20181109,S
300752.SZ,300752,隆利科技,深圳,元器件,L,20181130,N
300753.SZ,300753,爱朋医疗,江苏,医疗保健,L,20181213,N
300755.SZ,300755,华致酒行,云南,其他商业,L,20190129,S
300756.SZ,300756,金马游乐,广东,旅游服务,L,20181228,N
300757.SZ,300757,罗博特科,江苏,专用机械,L,20190108,S
300758.SZ,300758,七彩化学,辽宁,染料涂料,L,20190222,S
300759.SZ,300759,康龙化成,北京,化学制药,L,20190128,S
300760.SZ,300760,迈瑞医疗,深圳,医疗保健,L,20181016,S
300761.SZ,300761,立华股份,江苏,农业综合,L,20190218,S
300762.SZ,300762,上海瀚讯,上海,通信设备,L,20190314,S
300763.SZ,300763,锦浪科技,浙江,电气设备,L,20190319,S
300765.SZ,300765,新诺威,河北,食品,L,20190322,S
300766.SZ,300766,每日互动,浙江,互联网,L,20190325,N
300767.SZ,300767,震安科技,云南,橡胶,L,20190329,S
300768.SZ,300768,迪普科技,浙江,软件服务,L,20190412,S
300769.SZ,300769,德方纳米,深圳,化工原料,L,20190415,S
300770.SZ,300770,新媒股份,广东,影视音像,L,20190419,S
300771.SZ,300771,智莱科技,深圳,IT设备,L,20190422,N
300772.SZ,300772,运达股份,浙江,电气设备,L,20190426,S
300773.SZ,300773,拉卡拉,北京,软件服务,L,20190425,S
300775.SZ,300775,三角防务,陕西,航空,L,20190521,S
300776.SZ,300776,帝尔激光,湖北,专用机械,L,20190517,S
300777.SZ,300777,中简科技,江苏,化纤,L,20190516,S
300778.SZ,300778,新城市,深圳,建筑工程,L,20190510,N
300779.SZ,300779,惠城环保,山东,环境保护,L,20190522,N
300780.SZ,300780,德恩精工,四川,机械基件,L,20190531,N
300781.SZ,300781,因赛集团,广东,广告包装,L,20190606,N
300782.SZ,300782,卓胜微,江苏,元器件,L,20190618,S
300783.SZ,300783,三只松鼠,安徽,食品,L,20190712,S
300785.SZ,300785,值得买,北京,互联网,L,20190715,N
300786.SZ,300786,国林科技,山东,环境保护,L,20190723,N
300787.SZ,300787,海能实业,江西,通信设备,L,20190815,N
300788.SZ,300788,中信出版,北京,出版业,L,20190705,N
300789.SZ,300789,唐源电气,四川,软件服务,L,20190828,N
300790.SZ,300790,宇瞳光学,广东,元器件,L,20190920,S
300791.SZ,300791,仙乐健康,广东,医疗保健,L,20190925,S
300792.SZ,300792,壹网壹创,浙江,互联网,L,20190927,S
300793.SZ,300793,佳禾智能,广东,IT设备,L,20191018,S
300795.SZ,300795,米奥会展,浙江,文教休闲,L,20191022,N
300796.SZ,300796,贝斯美,浙江,农药化肥,L,20191115,N
300797.SZ,300797,钢研纳克,北京,电器仪表,L,20191101,N
300798.SZ,300798,锦鸡股份,江苏,染料涂料,L,20191122,N
300799.SZ,300799,左江科技,北京,软件服务,L,20191029,S
300800.SZ,300800,力合科技,湖南,环境保护,L,20191106,N
300801.SZ,300801,泰和科技,山东,化工原料,L,20191128,S
300802.SZ,300802,矩子科技,上海,专用机械,L,20191114,S
300803.SZ,300803,指南针,北京,软件服务,L,20191118,S
300805.SZ,300805,电声股份,广东,广告包装,L,20191121,N
300806.SZ,300806,斯迪克,江苏,塑料,L,20191125,S
300807.SZ,300807,天迈科技,河南,软件服务,L,20191219,N
300808.SZ,300808,久量股份,广东,家用电器,L,20191129,N
300809.SZ,300809,华辰装备,江苏,机床制造,L,20191204,S
300810.SZ,300810,中科海讯,北京,船舶,L,20191206,N
300811.SZ,300811,铂科新材,深圳,矿物制品,L,20191230,S
