Date,IndexCode,IndexName,Code,Name,Weigh
2021/2/26,300,沪深300,000876,新 希 望,0.27
2021/2/26,300,沪深300,000895,双汇发展,0.24
2021/2/26,300,沪深300,000938,紫光股份,0.15
2021/2/26,300,沪深300,000961,中南建设,0.08
2021/2/26,300,沪深300,000963,华东医药,0.14
2021/2/26,300,沪深300,000977,浪潮信息,0.16
2021/2/26,300,沪深300,001979,招商蛇口,0.2
2021/2/26,300,沪深300,002001,新和成,0.28
2021/2/26,300,沪深300,002007,华兰生物,0.23
2021/2/26,300,沪深300,002008,大族激光,0.18
2021/2/26,300,沪深300,002024,苏宁易购,0.13
2021/2/26,300,沪深300,002027,分众传媒,0.56
2021/2/26,300,沪深300,002032,苏泊尔,0.06
2021/2/26,300,沪深300,002044,美年健康,0.22
2021/2/26,300,沪深300,002049,紫光国微,0.24
2021/2/26,300,沪深300,002050,三花智控,0.22
2021/2/26,300,沪深300,002120,韵达股份,0.1
2021/2/26,300,沪深300,002129,中环股份,0.24
2021/2/26,300,沪深300,002142,宁波银行,0.6
2021/2/26,300,沪深300,002146,荣盛发展,0.06
2021/2/26,300,沪深300,002153,石基信息,0.06
2021/2/26,300,沪深300,002157,正邦科技,0.13
2021/2/26,300,沪深300,002179,中航光电,0.19
2021/2/26,300,沪深300,002202,金风科技,0.21
2021/2/26,300,沪深300,002230,科大讯飞,0.42
2021/2/26,300,沪深300,002236,大华股份,0.19
2021/2/26,300,沪深300,002241,歌尔股份,0.36
2021/2/26,300,沪深300,002252,上海莱士,0.1
2021/2/26,300,沪深300,002271,东方雨虹,0.39
2021/2/26,300,沪深300,002304,洋河股份,0.57
2021/2/26,300,沪深300,002311,海大集团,0.32
2021/2/26,300,沪深300,002352,顺丰控股,0.95
2021/2/26,300,沪深300,002371,北方华创,0.22
2021/2/26,300,沪深300,002384,东山精密,0.13
2021/2/26,300,沪深300,002410,广联达,0.33
2021/2/26,300,沪深300,002414,高德红外,0.12
