l1code,l1name,l2code,l2name,l3code,l3name,code,name,area,market,exchange,list_status,list_date,is_hs
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,301030,仕净科技,江苏,创业板,SZSE,L,20210722,S
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,301049,超越科技,安徽,创业板,SZSE,L,20210824,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,301068,大地海洋,浙江,创业板,SZSE,L,20210928,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,301081,严牌股份,浙江,创业板,SZSE,L,20211020,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,301109,军信股份,湖南,创业板,SZSE,L,20220413,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,301127,天源环保,湖北,创业板,SZSE,L,20211230,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,301148,嘉戎技术,福建,创业板,SZSE,L,20220421,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,301175,中科环保,北京,创业板,SZSE,L,20220708,S
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,301203,国泰环保,浙江,创业板,SZSE,L,20230404,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,301259,艾布鲁,湖南,创业板,SZSE,L,20220426,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,301265,华新环保,北京,创业板,SZSE,L,20221216,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,301288,清研环境,深圳,创业板,SZSE,L,20220422,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600008,首创环保,北京,主板,SSE,L,20000427,H
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600168,武汉控股,湖北,主板,SSE,L,19980427,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600187,国中水务,黑龙江,主板,SSE,L,19981111,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600217,中再资环,陕西,主板,SSE,L,19991216,H
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600283,钱江水利,浙江,主板,SSE,L,20001018,N
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,600292,远达环保,重庆,主板,SSE,L,20001101,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600323,瀚蓝环境,广东,主板,SSE,L,20001225,H
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,600388,ST龙净,福建,主板,SSE,L,20001229,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600461,洪城环境,江西,主板,SSE,L,20040601,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,600526,菲达环保,浙江,主板,SSE,L,20020722,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600769,祥龙电业,湖北,主板,SSE,L,19961101,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600796,钱江生化,浙江,主板,SSE,L,19970408,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,600817,宇通重工,河南,主板,SSE,L,19940128,H
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600874,创业环保,天津,主板,SSE,L,19950630,H
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,601158,重庆水务,重庆,主板,SSE,L,20100329,H
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,601199,江南水务,江苏,主板,SSE,L,20110317,H
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601200,上海环境,上海,主板,SSE,L,20170331,H
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601330,绿色动力,深圳,主板,SSE,L,20180611,H
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,601368,绿城水务,广西,主板,SSE,L,20150612,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601827,三峰环境,重庆,主板,SSE,L,20200605,H
